Category,Subcategory,Stakeholders,Idea
Macro,Community Building,All,Advocacy and awareness building among educational leaders
Meso,Tools & Technology,All,Addressing technical interoperability
Research & Metrics,Assessment,All,Case studies of promising practices
Macro,Policy,All,Getting governments to develop policy on OER
Macro,Community Building,All,Getting institutions in the North to use OER from the South
Micro,Accessibility,All,Continue to make it easier to find good OER
Meso,Tools & Technology,All,We need better synchronous software so virtual courses feel more real
Macro,Community Building,All,We need to impact urban and rural high school students who attend schools with weak STEM offerings
Macro,Community Building,All,"We need a central hub, or dispatcher site, where multiple OER resources by multiple providers can be accessed"
Meso,Tools & Technology,All,How the use of internet-based social networks and communities can be used to facilitate research
Micro,Accessibility,All,"How the principles of openness can facilitate multi-site, multi-institutional academic research"
Meso,Tools & Technology,Facilitator,Design focus on legal and technical interoperability
Micro,Accessibility,Facilitator,Easy access to remix and translate
Macro,Policy,Facilitator,Institutional and policy support
Meso,Tools & Technology,Builder,API standardization
Meso,Tools & Technology,Builder,Translation solutions
Micro,Teaching & Learning,Builder,Digital OER text book case studies targeted for administrators
Micro,Teaching & Learning,Facilitator,Show teachers how to use OER
Micro,Accessibility,Facilitator,Have OER creators tag their materials in a consistent manner
Micro,Accessibility,Facilitator,Point users to one place to find OER so they don't have to look all over the web
Meso,Tools & Technology,Builder,We need a search engine to find curriculum appropriate to OER
Micro,Teaching & Learning,Builder,Peer-2-Peer learning is an important complement to OER for learning
Meso,Tools & Technology,Builder,We need to develop a platform that comprehensively indexes all OER Questions & Assessments
Macro,Policy,Facilitator,Gaining supports from the governments
Macro,Community Building,Facilitator,Involving various actors in OER
Micro,Accessibility,Facilitator,Accessibility to the resources
Macro,Policy,"Facilitator, Builder",Get more institutions to adopt OER
Meso,Tools & Technology,"Facilitator, Builder",Create tools and systems that use the unique advantages of OER material
Macro,Community Building,"Facilitator, Builder",Create educational campaigns to FUD of the publishing industry
Micro,Teaching & Learning,Facilitator,Highly relevant use cases for teachers and students that inspire innovation in learning
Micro,Teaching & Learning,Facilitator,Professional learning opportunities that develop educator confidence
Meso,Copyright & Licensing,Facilitator,"Approachable discussions of intellectual property rights, licensing"
Meso,Tools & Technology,Facilitator,Common metadata
Micro,Accessibility,Facilitator,Easy search
Micro,Teaching & Learning,Facilitator,User experience
Micro,Teaching & Learning,"Learner, Facilitator",Allow for study time credit/diploma/certificate
Meso,Copyright & Licensing,"Learner, Facilitator",Modify and provide clarity around various licensing parameters around OER
Micro,Accessibility,"Learner, Facilitator",Allow emerging countries better access and participation
Macro,Policy,Facilitator,Help governments understand and adopt policies
Micro,Accessibility,Facilitator,Improve search and discovery of OER
Meso,Tools & Technology,Facilitator,Simpler educational software platforms
Micro,Teaching & Learning,All,Formal accreditation
Micro,Teaching & Learning,All,Transnational qualifications
Micro,Teaching & Learning,All,Scalable capacity development for all educators in OER reuse/remix
Macro,Policy,Facilitator,Providing more tangible support for faculty professionals
Macro,Community Building,Facilitator,Building awareness of the advantages of OER
Meso,Tools & Technology,Facilitator,Ensuring that OER is produced in accordance with Universal Design Principles
Macro,Policy,Facilitator,Institutional leadership with faculty incentive adoption
Macro,Community Building,Facilitator,Collective fundraising
Research & Metrics,Quality Control,Facilitator,Quality assurance
Research & Metrics,Assessment,All,Evaluation of OER
Micro,Teaching & Learning,All,Tying OER to real gaps in teaching & learning
Research & Metrics,Assessment,All,Assessment in OER usage
Macro,Policy,"Facilitator, Builder",Financial or reputational incentives to support the creation of OER
Micro,Accessibility,"Facilitator, Builder",Discoverability of OER
Micro,Teaching & Learning,"Facilitator, Builder",Better integration of OER into mainstream curriculum
Meso,Tools & Technology,Learner,Creating a platform for students voice in open education
Macro,Community Building,Learner,Increasing collaboration and communication among all members
Macro,Community Building,Learner,Shifting the default settings on education from privileged privacy to free and open access for all
Meso,Tools & Technology,All,Make tools to enable easier remixing/reusing
Research & Metrics,Assessment,All,Demonstrate evidence/outcome
Micro,Teaching & Learning,All,Giving credible certification
Macro,Policy,Facilitator,Create national policies that ensure that all federally funded research outputs are made accessible to all users
Macro,Community Building,Facilitator,Create a coalition that aligns the “open” movements to leverage resources and increase impact
Micro,Accessibility,Builder,"The resources should be easy to find, navigate and share"
Micro,Accessibility,Builder,The resources should be easy to understand
Micro,Teaching & Learning,Builder,The resources should be easily adapted by teachers to reflect their teaching styles and interests
Macro,Community Building,All,Recruit participation with a greater diversity of perspectives
Micro,Accessibility,All,Address gaps and needs to increase accessibility
Macro,Community Building,All,Create global learning communities that support dynamic learning
Macro,Policy,Facilitator,Adoption of government policies on open licensing
Micro,Teaching & Learning,Facilitator,Move to 1:1 learning environment
Micro,Accessibility,Facilitator,Ubiquitous connectivity worldwide to increase accessibility
Micro,Accessibility,Facilitator,Focus on demand and users
Macro,Community Building,Facilitator,"Recruit mainstream users, not just early adopters"
Macro,Community Building,Facilitator,"Develop partnerships (states, publishers, other businesses)"
Research & Metrics,Quality Control,All,Common core state standards
Micro,Teaching & Learning,All,Online learning/blended learning
Research & Metrics,Assessment,All,Action research: we must demonstrate that OER is not only as effective but can be more effective than traditional content
Macro,Community Building,Facilitator,Involving all parties to create a sense of ownership
Micro,Teaching & Learning,Facilitator,Enabling contextualization to allow integration into classrooms
Macro,Community Building,Facilitator,Bottom-up grassroots empowerment
Micro,Accessibility,Facilitator,Translation into other languages
Micro,Accessibility,Facilitator,Tagging to ease use and increase accessibility
Research & Metrics,Quality Control,Facilitator,Quality control
Macro,Community Building,Facilitator,"Increasing more awareness, PR"
Meso,Tools & Technology,Facilitator,Usage of online videos and other SNS
Macro,Policy,Builder,Implementation of 2010 World OER Congress
Macro,Community Building,Facilitator,Set up a teachers OER group on Creative Commons
Macro,Policy,Builder,Preparatory Regional for a for the World OER Congress
Macro,Policy,Builder,Integration of OER into national educational policies
Meso,Tools & Technology,Facilitator,Use of smartphones as distribution platform
Meso,Tools & Technology,Facilitator,Use of SNS platforms
Meso,Tools & Technology,Facilitator,Use of GIS
Macro,Policy,Facilitator,Unified human capital strategy
Macro,Community Building,Facilitator,Creation of coherent adoption language for all U.S. Schools
Macro,Community Building,Facilitator,Need for a series of conversations withint he OER community about who we want to have the biggest impact on
Meso,Tools & Technology,Builder,Tools enabling easy classroom integration
Macro,Policy,Builder,Policy support
Macro,Community Building,Builder,Going beyond the content
Macro,Community Building,Builder,Increase general awareness
Macro,Community Building,Builder,Social support groups for informal learning
Micro,Accessibility,Builder,Common classification to increase discoverability
Meso,Tools & Technology,Builder,User-focused new tools
Micro,Teaching & Learning,Builder,Faculty training
Macro,Community Building,Facilitator,"Raise awareness among policymakers, curriculum planners and politicians"
Macro,Community Building,Facilitator,Advocacy to support the value of OER in the academia
Micro,Accessibility,Facilitator,Improving the ease of use for better accessibility
Micro,Accessibility,All,More effective and targeted distribution for increased accessibility
Macro,Policy,All,Solidification of stable lines of funding
Research & Metrics,Quality Control,All,Quality indicators
Micro,Accessibility,Builder,"Better tagging for better accessibility, discoverability"
Meso,Tools & Technology,Builder,Build Pandora-esque playlist
Research & Metrics,Quality Control,Builder,Peer reviews
Research & Metrics,Quality Control,"Facilitator, Builder",Credible quality ratings
Micro,Teaching & Learning,"Facilitator, Builder",Credible accreditation
Macro,Community Building,"Facilitator, Builder","Crowd-sourced, human assistance"
Micro,Teaching & Learning,Learner,Training for educators
Macro,Community Building,Learner,Need for role models
Research & Metrics,Assessment,Learner,Need for assessment that go beyond contents
Macro,Community Building,Builder,Viral community building
Macro,Policy,Builder,Get backing
Macro,Community Building,Builder,Creation of communities to share findings from OER initiatives
Meso,Tools & Technology,All,Host open sources repositories on the cloud
Macro,Community Building,All,Build an open education developers community
Meso,Tools & Technology,All,Create operating technological guidelines to support interoperability
Meso,Tools & Technology,Builder,Tools to aggregate OER from all sources
Macro,Community Building,Builder,Organization of OER into traditional and nontraditional pathways to increase awareness
Macro,Community Building,Builder,"Stimulating submission of materials for such initiatives as Open Textbook Challenge, Permissions Initiative, etc."
Micro,Accessibility,Facilitator,Understanding the local media and language to increase accessibility
Micro,Accessibility,Facilitator,Use of more multimedia to increase accessibility
Macro,Policy,Facilitator,Government support
Research & Metrics,Quality Control,Builder,Improve quality
Research & Metrics,Assessment,Builder,Include assessments
Micro,Accessibility,Builder,Develop metrics that provide demonstrable outcomes
Micro,Accessibility,Builder,"Universal model of production, tagging and discovering for improved accessibility"
Macro,Community Building,Builder,Collaborative building of an OER community
Meso,Copyright & Licensing,Builder,Working with publishers for more effective distribution
Macro,Community Building,All,Organizing community
Meso,Tools & Technology,All,Tools for people to be able to build their own collections
Macro,Community Building,All,Grassroots working with schools
Macro,Community Building,Builder,Increased awareness
Research & Metrics,Quality Control,Builder,Incorporation of variable licenses
Macro,Community Building,Builder,Coordinated lobbying to defend the legal and legislative territory from incumbents undercutting OER efforts
Meso,Tools & Technology,Builder,Use of feature phones for mobile delivery in developing countries
Meso,Tools & Technology,Builder,Improved interoperability and standards-compliance between platforms
Macro,Community Building,Builder,Making the in-class educators the focus of the movement
Micro,Teaching & Learning,"Facilitator, Builder",Help educators learn how to use OER effectively
Micro,Teaching & Learning,"Facilitator, Builder",Develop a systemic approach to helping teachers how to learn to use OER
Macro,Community Building,"Facilitator, Builder",organizing of a workable network involving teachers who may be isolated in classrooms
Micro,Accessibility,All,"Better cataloging, tagging and organizing of resources for better accessibility"
Macro,Community Building,All,Need for simple ways to connect teachers using OER
Meso,Tools & Technology,All,Ability to be able to track my learning
Micro,Accessibility,Builder,Universally designed content
Micro,Accessibility,Builder,Easy to find resources
Research & Metrics,Quality Control,Builder,Incorporation of best practices from the learning sciences
Macro,Policy,Facilitator,Leverage government as catalyst to socialize
Macro,Policy,Facilitator,Leverage US government to socialize through our embassies with foreign partners
Micro,Teaching & Learning,Builder,Teacher customization
Research & Metrics,Quality Control,Builder,Grounded in research
Research & Metrics,Assessment,Builder,Evidence of effectiveness
Research & Metrics,Assessment,All,Assessment and analysis
