Category,Subcategory,Stakeholders,Intervention,Type
Meso,Accessibility,Facilitator,Translation into other languages,Intervention
Meso,Accessibility,Facilitator,Creation of coherent adoption language for all U.S. Schools,Intervention
Meso,Accessibility,All,More effective and targeted distribution for increased accessibility,Intervention
Meso,Accessibility,Builder,"Universal model of production, tagging and discovering for improved accessibility",Intervention
Meso,Accessibility,All,"Better cataloging, tagging and organizing of resources for better accessibility",Intervention
Meso,Accessibility,Learner,OER textbooks to make it affordable and accessible,Intervention
Meso,Accessibility,Facilitator,Ensuring that OER is produced in accordance with Universal Design Principles,Opportunity
Meso,Accessibility,Facilitator,Understanding the local media and language to increase accessibility,Opportunity
Meso,Accessibility,Builder,Working with publishers for more effective distribution,Opportunity
Meso,Accessibility,Builder,Better distribution targeted at faculty,Opportunity
Meso,Accessibility,"Learner, Facilitator",Allow emerging countries better access and participation,Problem
Meso,Accessibility,All,"How the principles of openness can facilitate multi-site, multi-institutional academic research",Opportunity
Meso,Accreditation,"Learner, Facilitator",Allow for study time credit/diploma/certificate,Opportunity
Meso,Accreditation,All,Transnational qualifications,Problem
Meso,Accreditation,"Facilitator, Builder",Credible accreditation,Problem
Research,Assessment,Builder,Develop metrics that provide demonstrable outcomes,Intervention
Research,Assessment,All,Demonstrate evidence/outcome,Problem
Research,Assessment,All,Action research: we must demonstrate that OER is not only as effective but can be more effective than traditional content,Problem
Research,Assessment,Learner,Need for assessment that go beyond contents,Problem
Research,Assessment,Builder,Evidence of effectiveness,Problem
Research,Assessment,Builder,Evaluation of the use of OER in institutions,Problem
Micro,Business Models,Builder,Supporting new business models,Opportunity
Research,Case Studies,All,Case studies of promising practices,Opportunity
Macro,Community Building,Learner,Shifting the default settings on education from privileged privacy to free and open access for all,Opportunity
Macro,Community Building,Facilitator,"Recruit mainstream users, not just early adopters",Opportunity
Macro,Community Building,Facilitator,"Develop partnerships (states, publishers, other businesses)",Opportunity
Macro,Community Building,Facilitator,Set up a teachers OER group on Creative Commons ,Opportunity
Macro,Community Building,Facilitator,Advocacy to support the value of OER in the academia,Opportunity
Macro,Community Building,All,Build an open education developers community,Opportunity
Macro,Community Building,Builder,Organization of OER into traditional and nontraditional pathways to increase awareness,Opportunity
Macro,Community Building,Builder,Making the in-class educators the focus of the movement,Opportunity
Macro,Community Building,All,Create an OER working group for outreach,Opportunity
Macro,Community Building,Learner,Organizing students to spread the word,Opportunity
Macro,Community Building,All,Getting institutions in the North to use OER from the South,Problem
Macro,Community Building,All,We need to impact urban and rural high school students who attend schools with weak STEM offerings,Problem
Meso,Tools & Technology,All,"We need a central hub, or dispatcher site, where multiple OER resources by multiple providers can be accessed",Intervention
Macro,Community Building,Facilitator,"Raise awareness among policymakers, curriculum planners and politicians",Problem
Macro,Community Building,Builder,Coordinated lobbying to defend the legal and legislative territory from incumbents undercutting OER efforts,Problem
Macro,Community Building,Facilitator,Understanding the landscape,Problem
Macro,Copyright & Licensing,"Learner, Facilitator",Modify and provide clarity around various licensing parameters around OER,Opportunity
Macro,Copyright & Licensing,Facilitator,"Approachable discussions of intellectual property rights, licensing",Opportunity
Macro,Copyright & Licensing,Builder,Incorporation of variable licenses,Problem
Macro,Copyright & Licensing,Builder,Clarifying intellectual property rights,Problem
Micro,"Customization, Remix & Reuse",All,Make tools to enable easier remixing/reusing,Intervention
Micro,"Customization, Remix & Reuse",Facilitator,Enabling contextualization to allow integration into classrooms,Opportunity
Micro,"Customization, Remix & Reuse",Builder,Encouraging customization around the world,Opportunity
Micro,"Customization, Remix & Reuse",Facilitator,Easy access to remix and reuse,Problem
Micro,"Customization, Remix & Reuse",Builder,Teacher customization,Problem
Meso,Feedback,Builder,Learning analytics based on feedback loop,Intervention
Meso,Feedback,Builder,Peer review process,Intervention
Meso,Feedback,Builder,Clear guidelines for user feedback,Intervention
Micro,"Guidance, Training & Maintenance",Facilitator,Professional learning opportunities that develop educator confidence,Intervention
Micro,"Guidance, Training & Maintenance",All,Scalable capacity development for all educators in OER reuse/remix ,Intervention
Micro,"Guidance, Training & Maintenance","Facilitator, Builder",Help educators learn how to use OER effectively,Intervention
Micro,"Guidance, Training & Maintenance","Facilitator, Builder",Develop a systemic approach to helping teachers how to learn to use OER,Intervention
Micro,"Guidance, Training & Maintenance",Builder,Social support groups for informal learning,Opportunity
Macro,Policy,Facilitator,Providing more tangible support for faculty professionals,Intervention
Macro,Policy,Facilitator,Create national policies that ensure that all federally funded research outputs are made accessible to all users,Intervention
Macro,Policy,Facilitator,Adoption of government policies on open licensing,Intervention
Macro,Policy,Builder,Integration of OER into national educational policies,Intervention
Macro,Policy,Builder,Build policy to make OER adoptable at scale,Intervention
Macro,Policy,All,Getting governments to develop policy on OER,Problem
Macro,Policy,Facilitator,Institutional leadership with faculty incentive adoption,Opportunity
Macro,Policy,"Facilitator, Builder",Financial or reputational incentives to support the creation of OER,Opportunity
Macro,Policy,Builder,Implementation of 2010 World OER Congress,Opportunity
Macro,Policy,Facilitator,Leverage US government to socialize through our embassies with foreign partners,Opportunity
Macro,Policy,Facilitator,Help governments understand and adopt policies,Problem
Macro,Policy,All,Solidification of stable lines of funding,Problem
Macro,Policy,Builder,Adoption of OER policy by institutions,Problem
Meso,Quality Control,All,Common core state standards,Intervention
Meso,Quality Control,"Facilitator, Builder",Credible quality ratings,Problem
Meso,Quality Control,Builder,Grounded in research,Problem
Meso,Quality Control,Learner,Editorial rigor,Problem
Meso,Quality Control,Builder,Incorporation of best practices from the learning sciences,Opportunity
Meso,Search & Discoverability,Builder,Common classification to increase discoverability,Intervention
Meso,Search & Discoverability,Facilitator,Point users to one place to find OER so they don't have to look all over the web,Opportunity
Meso,Search & Discoverability,All,Continue to make it easier to find good OER,Problem
Meso,Search & Discoverability,Facilitator,Improve search and discovery of OER,Problem
Meso,Search & Discoverability,Builder,"The resources should be easy to find, navigate and share",Problem
Meso,Search & Discoverability,Learner,Discoverability of OER,Problem
Micro,Teaching & Learning,Builder,Peer-2-Peer learning is an important complement to OER for learning,Opportunity
Micro,Teaching & Learning,Facilitator,Highly relevant use cases for teachers and students that inspire innovation in learning,Opportunity
Micro,Teaching & Learning,All,Online learning/blended learning,Opportunity
Micro,Teaching & Learning,All,Tying OER to real gaps in teaching & learning,Problem
Micro,Teaching & Learning,"Facilitator, Builder",Better integration of OER into mainstream curriculum,Problem
Micro,Teaching & Learning,Facilitator,Move to 1:1 learning environment,Problem
Micro,Teaching & Learning,Builder,Matching the needs of users with the contents of OER,Problem
Micro,Teaching & Learning,Builder,The resources should be easily adapted by teachers to reflect their teaching styles and interests,Problem
Meso,Tools & Technology,Facilitator,Simpler educational software platforms,Intervention
Meso,Tools & Technology,Builder,Tools enabling easy classroom integration,Intervention
Meso,Tools & Technology,Builder,API standardization,Intervention
Meso,Tools & Technology,Builder,Use of feature phones for mobile delivery in developing countries,Intervention
Meso,Tools & Technology,All,Host open sources repositories on the cloud,Intervention
Meso,Tools & Technology,All,Create operating technological guidelines to support interoperability,Intervention
Meso,Tools & Technology,Builder,Tools to aggregate OER from all sources,Intervention
Meso,Tools & Technology,Facilitator,Design focus on legal and technical interoperability,Opportunity
Meso,Tools & Technology,Facilitator,Usage of online videos and other SNS,Opportunity
Meso,Tools & Technology,Facilitator,Use of GIS,Opportunity
Meso,Tools & Technology,All,Tools for people to be able to build their own collections,Opportunity
Meso,Tools & Technology,Builder,We need a search engine to find curriculum appropriate to OER,Problem
Meso,Tools & Technology,Builder,We need to develop a platform that comprehensively indexes all OER Questions & Assessments,Problem
Meso,Tools & Technology,All,Ability to be able to track my learning,Problem
